student_name,student_pre_major,learning_trarget,nationality,register_program,student_ID,student_email,course_module,start_time,end_time,student_enter_time,student_leave_time,student_active_start_time,student_active_end_time,student_group_code,week,student_interaction,assessment_type,submission_time,LO1_marks,LO2_marks,LO3_marks,LO4_marks,average_marks,marks_level,student_online,sum_click,activity_type
Wushu Yu,Product Design,Industrial,China,Design Informatics MA,s21227893,s21227893@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:14:48,01/05/2022 11:29:52,01/05/2022 10:20:02,01/05/2022 11:41:47,G 1,w1,5,Assignment 1,27/06/2022 19:39:41,87,49,47,87,67.5,C,0,33,resource
Zujiang Wang,Psychology,Industrial,China,Design Informatics MA,s21227894,s21222394@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:10:43,01/05/2022 11:24:16,01/05/2022 10:04:57,01/05/2022 11:43:31,G 1,w2,5,Assignment 1,28/06/2022 16:42:58,80,60,44,86,67.5,C,0,21,oucontent
Yingsheng Zhang,Computer Science,Industrial,China,Design Informatics MA,s21227895,s21227895@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:27:59,01/05/2022 11:29:20,01/05/2022 10:13:05,01/05/2022 11:52:16,G 1,w3,0,Assignment 1,25/06/2022 09:18:55,89,72,79,53,73.25,B,0,42,resource
Lijin Li,Psychology,Other,China,Design Informatics MSc,s21227896,s21224396@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:08:40,01/05/2022 11:22:54,01/05/2022 10:18:36,01/05/2022 11:59:09,G 1,w4,2,Assignment 1,24/06/2022 11:09:08,75,54,77,93,74.75,B,1,2,url
Zhiyu Li,Fashion,Industrial,China,Design Informatics MA,s21227897,s21223245@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:11:11,01/05/2022 11:49:13,01/05/2022 10:23:15,01/05/2022 12:09:21,G 1,w5,3,Assignment 1,28/06/2022 02:57:08,65,89,76,49,69.75,C,0,18,resource
Xianggang Zhang,Graphic Design,Industrial,China,Design Informatics MA,s21227898,s21227898@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:00:17,01/05/2022 11:32:55,01/05/2022 10:01:33,01/05/2022 11:45:59,G 2,w1,1,Assignment 1,25/06/2022 16:20:21,63,90,60,43,64,C,0,11,homepage
Guihong Yu,Computer Science,Academic,China,Design Informatics MA,s21227899,s21227899@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:28:57,01/05/2022 11:32:40,01/05/2022 10:28:45,01/05/2022 11:54:23,G 2,w2,4,Assignment 1,27/06/2022 20:05:57,64,51,57,41,53.25,D,0,12,url
Bingya Liu,Product Design,Other,China,Design Informatics MA,s21227900,s21437432@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:11:34,01/05/2022 11:40:19,01/05/2022 10:24:09,01/05/2022 11:49:17,G 2,w3,6,Assignment 1,27/06/2022 21:48:12,86,64,52,54,64,C,0,7,oucontent
Yiping Han,Fashion,Industrial,China,Design Informatics MA,s21227901,s21227901@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:10:16,01/05/2022 11:42:23,01/05/2022 10:26:03,01/05/2022 11:53:30,G 2,w4,5,Assignment 1,24/06/2022 23:39:06,40,90,58,77,66.25,C,1,12,resource
William Hardy,Computer Science,Other,United Kingdom,Design Informatics MSc,s21223202,s21547902@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:29:24,01/05/2022 11:26:15,01/05/2022 10:08:52,01/05/2022 11:53:54,G 2,w5,7,Assignment 1,30/06/2022 09:13:11,47,73,57,54,57.75,D,1,5,oucontent
